discount,img,platform,price,time,title
-48%,https://s3.gaming-cdn.com/images/products/6443/380x218/hokko-life-pc-game-steam-cover.jpg?v=1651570466,None,10.47€,20/10/2022 ::16:11:50,Hokko Life
-25%,https://s1.gaming-cdn.com/images/products/12384/380x218/thehunter-call-of-the-wild-revontuli-coast-pc-game-steam-cover.jpg?v=1656426625,None,5.99€,20/10/2022 ::16:11:50,theHunter: Call of the Wild - Revontuli Coast
-35%,https://s3.gaming-cdn.com/images/products/6524/380x218/hardspace-shipbreaker-pc-game-steam-cover.jpg?v=1657184249,None,22.67€,20/10/2022 ::16:11:50,Hardspace: Shipbreaker
-33%,https://s2.gaming-cdn.com/images/products/12655/380x218/midnight-fight-express-pc-game-steam-cover.jpg?v=1661415310,None,13.41€,20/10/2022 ::16:11:50,Midnight Fight Express
-16%,https://s3.gaming-cdn.com/images/products/12911/380x218/lost-judgment-pc-game-steam-europe-cover.jpg?v=1663664513,None,50.52€,20/10/2022 ::16:11:50,Lost Judgment
-25%,https://s2.gaming-cdn.com/images/products/9694/380x218/despot-s-game-dystopian-army-builder-pc-mac-game-steam-cover.jpg?v=1664961530,None,14.91€,20/10/2022 ::16:11:50,Despot's Game: Dystopian Army Builder
-51%,https://s1.gaming-cdn.com/images/products/8421/380x218/prehistoric-kingdom-pc-game-steam-cover.jpg?v=1651674516,None,12.29€,20/10/2022 ::16:11:50,Prehistoric Kingdom
-34%,https://s1.gaming-cdn.com/images/products/10620/380x218/sniper-elite-5-deluxe-edition-deluxe-edition-pc-game-steam-europe-cover.jpg?v=1653549957,None,52.99€,20/10/2022 ::16:11:50,Sniper Elite 5 Deluxe Edition
-26%,https://s2.gaming-cdn.com/images/products/10402/380x218/death-stranding-director-s-cut-ps5-director-s-cut-playstation-5-game-playstation-store-cover.jpg?v=1649674459,None,36.93€,20/10/2022 ::16:11:50,Death Stranding Director’s Cut PS5
-30%,https://s2.gaming-cdn.com/images/products/12916/380x218/arcade-paradise-pc-game-steam-cover.jpg?v=1663235730,None,13.99€,20/10/2022 ::16:11:50,Arcade Paradise
-25%,https://s3.gaming-cdn.com/images/products/12896/380x218/cities-skylines-shoreline-radio-mac-pc-game-steam-cover.jpg?v=1663225836,None,2.99€,20/10/2022 ::16:11:50,Cities: Skylines - Shoreline Radio
-35%,https://s2.gaming-cdn.com/images/products/12400/380x218/farming-simulator-22-kubota-pack-pc-mac-game-steam-cover.jpg?v=1656432601,None,8.38€,20/10/2022 ::16:11:50,Farming Simulator 22 - Kubota Pack
-43%,https://s1.gaming-cdn.com/images/products/12375/380x218/superpower-3-pc-game-steam-cover.jpg?v=1665474361,None,16.99€,20/10/2022 ::16:11:50,SuperPower 3
-71%,https://s2.gaming-cdn.com/images/products/4891/380x218/tom-clancy-s-rainbow-six-siege-deluxe-edition-deluxe-edition-pc-game-ubisoft-connect-europe-cover.jpg?v=1649772737,None,8.68€,20/10/2022 ::16:11:50,Tom Clancy's Rainbow Six Siege Deluxe Edition
-82%,https://s3.gaming-cdn.com/images/products/4595/380x218/tom-clancy-s-ghost-recon-breakpoint-pc-game-ubisoft-connect-europe-cover.jpg?v=1650451967,None,10.99€,20/10/2022 ::16:11:50,Tom Clancy's Ghost Recon: Breakpoint
-90%,https://s2.gaming-cdn.com/images/products/1843/380x218/assassin-s-creed-origins-pc-game-ubisoft-connect-europe-cover.jpg?v=1648141507,None,5.99€,20/10/2022 ::16:11:50,Assassin's Creed: Origins
-66%,https://s2.gaming-cdn.com/images/products/400/380x218/game-uplay-assassins-creed-unity-cover.jpg?v=1614939924,None,10.30€,20/10/2022 ::16:11:50,Assassin's Creed: Unity
-65%,https://s2.gaming-cdn.com/images/products/406/380x218/tom-clancy-s-rainbow-six-siege-pc-game-ubisoft-connect-europe-cover.jpg?v=1649421231,None,6.92€,20/10/2022 ::16:11:50,Tom Clancy's Rainbow Six Siege
-29%,https://s2.gaming-cdn.com/images/products/10579/380x218/jojo-s-bizarre-adventure-all-star-battle-r-pc-game-steam-cover.jpg?v=1662018195,None,35.49€,20/10/2022 ::16:11:50,JoJo’s Bizarre Adventure: All Star Battle R
-18%,https://s1.gaming-cdn.com/images/products/12924/380x218/sonic-frontiers-digital-deluxe-digital-deluxe-pc-game-steam-cover.jpg?v=1666191093,None,57.49€,20/10/2022 ::16:11:50,Sonic Frontiers – Digital Deluxe
-13%,https://s1.gaming-cdn.com/images/products/6021/380x218/cuphead-the-delicious-last-course-pc-mac-game-steam-cover.jpg?v=1656947346,None,6.99€,20/10/2022 ::16:11:50,Cuphead - The Delicious Last Course
-43%,https://s2.gaming-cdn.com/images/products/6733/380x218/good-company-pc-game-steam-cover.jpg?v=1651573371,None,12.99€,20/10/2022 ::16:11:50,Good Company
-27%,https://s1.gaming-cdn.com/images/products/12702/380x218/destiny-2-lightfall-pc-game-steam-cover.jpg?v=1661336452,None,36.49€,20/10/2022 ::16:11:50,Destiny 2: Lightfall
-55%,https://s2.gaming-cdn.com/images/products/12283/380x218/symphony-of-war-the-nephilim-saga-pc-game-steam-cover.jpg?v=1655710724,None,8.95€,20/10/2022 ::16:11:50,Symphony of War: The Nephilim Saga
-61%,https://s2.gaming-cdn.com/images/products/12640/380x218/generation-zero-tactical-equipment-pack-pc-game-steam-cover.jpg?v=1660030014,None,2.34€,20/10/2022 ::16:11:50,Generation Zero - Tactical Equipment Pack
-25%,https://s2.gaming-cdn.com/images/products/12604/380x218/re-volt-pc-game-steam-cover.jpg?v=1659082492,None,4.49€,20/10/2022 ::16:11:50,Re-Volt
-32%,https://s2.gaming-cdn.com/images/products/9352/380x218/neon-white-pc-game-steam-cover.jpg?v=1655278642,None,14.99€,20/10/2022 ::16:11:50,Neon White
-51%,https://s1.gaming-cdn.com/images/products/13020/380x218/monster-outbreak-pc-game-steam-cover.jpg?v=1665386850,None,7.29€,20/10/2022 ::16:11:50,Monster Outbreak
-29%,https://s2.gaming-cdn.com/images/products/12628/380x218/sbk-22-pc-game-steam-cover.jpg?v=1663226538,None,28.49€,20/10/2022 ::16:11:50,SBK 22
-50%,https://s2.gaming-cdn.com/images/products/13024/380x218/mars-base-pc-mac-game-steam-cover.jpg?v=1666083167,None,9.99€,20/10/2022 ::16:11:50,Mars Base
-25%,https://s2.gaming-cdn.com/images/products/12895/380x218/cities-skylines-paradise-radio-pc-mac-game-steam-cover.jpg?v=1663225800,None,2.99€,20/10/2022 ::16:11:50,Cities: Skylines - Paradise Radio
-55%,https://s1.gaming-cdn.com/images/products/12624/380x218/retreat-to-enen-pc-game-steam-cover.jpg?v=1659444006,None,11.29€,20/10/2022 ::16:11:50,Retreat To Enen
-45%,https://s1.gaming-cdn.com/images/products/9972/380x218/recipe-for-disaster-pc-game-steam-cover.jpg?v=1652965958,None,9.37€,20/10/2022 ::16:11:50,Recipe for Disaster
-53%,https://s2.gaming-cdn.com/images/products/13063/380x218/lost-in-play-pc-game-steam-cover.jpg?v=1665752862,None,9.49€,20/10/2022 ::16:11:50,Lost in Play
-27%,https://s1.gaming-cdn.com/images/products/9420/380x218/marvel-s-midnight-suns-pc-game-steam-europe-cover.jpg?v=1662842616,None,43.89€,20/10/2022 ::16:11:50,Marvel's Midnight Suns
-75%,https://s1.gaming-cdn.com/images/products/12618/380x218/destroy-all-humans-clone-carnage-pc-game-steam-cover.jpg?v=1659379419,None,3.23€,20/10/2022 ::16:11:50,Destroy All Humans! – Clone Carnage
-47%,https://s3.gaming-cdn.com/images/products/12914/380x218/eville-pc-game-steam-cover.jpg?v=1665742491,None,7.93€,20/10/2022 ::16:11:50,Eville
-62%,https://s1.gaming-cdn.com/images/products/6147/380x218/assassin-s-creed-valhalla-pc-game-ubisoft-connect-europe-cover.jpg?v=1650550345,None,22.99€,20/10/2022 ::16:11:50,Assassin’s Creed Valhalla
-87%,https://s3.gaming-cdn.com/images/products/2540/380x218/watch-dogs-legion-pc-game-ubisoft-connect-europe-cover.jpg?v=1664201416,None,7.99€,20/10/2022 ::16:11:50,Watch Dogs Legion
-82%,https://s3.gaming-cdn.com/images/products/2648/380x218/assassin-s-creed-odyssey-pc-game-ubisoft-connect-europe-cover.jpg?v=1657267783,None,10.68€,20/10/2022 ::16:11:50,Assassin's Creed Odyssey
-73%,https://s2.gaming-cdn.com/images/products/2467/380x218/the-division-2-pc-game-ubisoft-connect-europe-cover.jpg?v=1652373544,None,7.99€,20/10/2022 ::16:11:50,The Division 2
-92%,https://s1.gaming-cdn.com/images/products/1365/380x218/watch-dogs-2-pc-game-ubisoft-connect-europe-cover.jpg?v=1644761005,None,4.64€,20/10/2022 ::16:11:50,Watch Dogs 2
-78%,https://s3.gaming-cdn.com/images/products/2249/380x218/anno-1800-pc-game-ubisoft-connect-europe-cover.jpg?v=1649844268,None,13.46€,20/10/2022 ::16:11:50,Anno 1800
-81%,https://s2.gaming-cdn.com/images/products/877/380x218/game-uplay-for-honor-cover.jpg?v=1626698116,None,5.59€,20/10/2022 ::16:11:50,For Honor
-85%,https://s2.gaming-cdn.com/images/products/2095/380x218/the-crew-2-pc-game-ubisoft-connect-europe-cover.jpg?v=1657277263,None,7.38€,20/10/2022 ::16:11:50,The Crew 2
-47%,https://s1.gaming-cdn.com/images/products/4896/380x218/monopoly-plus-pc-game-ubisoft-connect-cover.jpg?v=1649421279,None,7.99€,20/10/2022 ::16:11:50,Monopoly Plus
-80%,https://s1.gaming-cdn.com/images/products/261/380x218/assassin-s-creed-iv-black-flag-pc-game-ubisoft-connect-europe-cover.jpg?v=1649944074,None,8.15€,20/10/2022 ::16:11:50,Assassin's Creed IV: Black Flag
-86%,https://s2.gaming-cdn.com/images/products/667/380x218/assassin-s-creed-syndicate-pc-game-ubisoft-connect-europe-cover.jpg?v=1653299389,None,5.42€,20/10/2022 ::16:11:50,Assassin's Creed: Syndicate
-74%,https://s3.gaming-cdn.com/images/products/878/380x218/tom-clancy-s-ghost-recon-wildlands-pc-game-ubisoft-connect-europe-cover.jpg?v=1648462374,None,12.88€,20/10/2022 ::16:11:50,Tom Clancy's Ghost Recon: Wildlands
-57%,https://s3.gaming-cdn.com/images/products/4898/380x218/game-uplay-uno-cover.jpg?v=1608049517,None,4.29€,20/10/2022 ::16:11:50,UNO
